Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"CONTRAS";;27;"CRT 201_1.1";"2 Dimmer 00 (2)";"1.106";ffffff
"CONTRAS";;28;"CRT 201_1.2";"2 Dimmer 00 (2)";"1.102";ffffff
"CONTRAS";;29;"CRT 201_1.3";"2 Dimmer 00 (2)";"1.099";ffffff
"CONTRAS";;30;"CRT 201_1.4";"2 Dimmer 00 (2)";"1.097";ffffff
"CONTRAS";;31;"CRT 201_2.1";"2 Dimmer 00 (2)";"1.260";ffffff
"CONTRAS";;32;"CRT 201_2.2";"2 Dimmer 00 (2)";"1.257";ffffff
"CONTRAS";;33;"CRT 201_2.3";"2 Dimmer 00 (2)";"1.252";ffffff
"CONTRAS";;34;"CRT 115_1.1";"2 Dimmer 00 (2)";"1.105";ffffff
"CONTRAS";;35;"CRT 115_1.2";"2 Dimmer 00 (2)";"1.101";ffffff
"CONTRAS";;36;"CRT 115_1.3";"2 Dimmer 00 (2)";"1.109";ffffff
"CONTRAS";;37;"CRT 115_1.4";"2 Dimmer 00 (2)";"1.096";ffffff
"CONTRAS";;38;"CRT 115_2.1";"2 Dimmer 00 (2)";"1.259";ffffff
"CONTRAS";;39;"CRT 115_2.2";"2 Dimmer 00 (2)";"1.253";ffffff
"CONTRAS";;40;"CRT 115_2.3";"2 Dimmer 00 (2)";"1.251";ffffff
