Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"FRENTES";;1;"FT 1.1";"2 Dimmer 00 (2)";"1.006";ffffff
"FRENTES";;2;"FT 1.2";"2 Dimmer 00 (2)";"1.007";ffffff
"FRENTES";;3;"FT 1.3";"2 Dimmer 00 (2)";"1.010";ffffff
"FRENTES";;4;"FT 1.4";"2 Dimmer 00 (2)";"1.015";ffffff
"FRENTES";;5;"FT 1.5";"2 Dimmer 00 (2)";"1.018";ffffff
"FRENTES";;6;"FT 2.1";"2 Dimmer 00 (2)";"1.020";ffffff
"FRENTES";;7;"FT 2.2";"2 Dimmer 00 (2)";"1.023";ffffff
"FRENTES";;8;"FT 2.3";"2 Dimmer 00 (2)";"1.026";ffffff
"FRENTES";;9;"FT 2.4";"2 Dimmer 00 (2)";"1.030";ffffff
"FRENTES";;10;"FT 2.5";"2 Dimmer 00 (2)";"1.033";ffffff
"FRENTES";;11;"FT 201_3.1";"2 Dimmer 00 (2)";"1.069";ffffff
"FRENTES";;12;"FT 201_3.2";"2 Dimmer 00 (2)";"1.068";ffffff
"FRENTES";;13;"FT 201_3.3";"2 Dimmer 00 (2)";"1.065";ffffff
"FRENTES";;14;"FT 201_3.4";"2 Dimmer 00 (2)";"1.062";ffffff
"FRENTES";;15;"FT 201_3.5";"2 Dimmer 00 (2)";"1.060";ffffff
"FRENTES";;16;"FT 201_4.1";"2 Dimmer 00 (2)";"1.104";ffffff
"FRENTES";;17;"FT 201_4.2";"2 Dimmer 00 (2)";"1.107";ffffff
"FRENTES";;18;"FT 201_4.3";"2 Dimmer 00 (2)";"1.095";ffffff
"FRENTES";;19;"FT 115_3.1";"2 Dimmer 00 (2)";"1.067";ffffff
"FRENTES";;20;"FT 115_3.2";"2 Dimmer 00 (2)";"1.066";ffffff
"FRENTES";;21;"FT 115_3.3";"2 Dimmer 00 (2)";"1.063";ffffff
"FRENTES";;22;"FT 115_3.4";"2 Dimmer 00 (2)";"1.061";ffffff
"FRENTES";;23;"FT 115_3.5";"2 Dimmer 00 (2)";"1.059";ffffff
"FRENTES";;24;"FT 115_4.1";"2 Dimmer 00 (2)";"1.103";ffffff
"FRENTES";;25;"FT 115_4.2";"2 Dimmer 00 (2)";"1.108";ffffff
"FRENTES";;26;"FT 115_4.3";"2 Dimmer 00 (2)";"1.098";ffffff
