FixtureType,FixtureID,ChannelID,MaxPower
6 Revolution BM/SM Original Scroller 00 (6),, ,950
8 autoyoke_jj (8),, ,650
2 Dimmer 00,,1,2000
2 Dimmer 00,,2,2000
2 Dimmer 00,,3,2000
2 Dimmer 00,,4,2000
2 Dimmer 00,,5,2000
2 Dimmer 00,,6,2000
2 Dimmer 00,,7,2000
2 Dimmer 00,,8,2000
2 Dimmer 00,,9,2000
2 Dimmer 00,,10,2000
2 Dimmer 00,,11,1000
2 Dimmer 00,,12,1000
2 Dimmer 00,,13,1000
2 Dimmer 00,,14,1000
2 Dimmer 00,,15,1000
2 Dimmer 00,,16,1000
2 Dimmer 00,,17,1000
2 Dimmer 00,,18,1000
2 Dimmer 00,,19,1000
2 Dimmer 00,,20,1000
2 Dimmer 00,,21,1000
2 Dimmer 00,,22,1000
2 Dimmer 00,,23,1000
2 Dimmer 00,,24,1000
2 Dimmer 00,,25,1000
2 Dimmer 00,,26,1000
2 Dimmer 00,,27,1000
2 Dimmer 00,,28,1000
2 Dimmer 00,,29,1000
2 Dimmer 00,,30,1000
2 Dimmer 00,,31,1000
2 Dimmer 00,,32,1000
2 Dimmer 00,,33,1000
2 Dimmer 00,,34,1000
2 Dimmer 00,,35,1000
2 Dimmer 00,,36,1000
2 Dimmer 00,,37,1000
2 Dimmer 00,,38,1000
2 Dimmer 00,,39,1000
2 Dimmer 00,,40,1000
2 Dimmer 00,,41,750
2 Dimmer 00,,42,750
2 Dimmer 00,,43,750
2 Dimmer 00,,44,750
2 Dimmer 00,,45,750
2 Dimmer 00,,46,750
2 Dimmer 00,,47,750
2 Dimmer 00,,48,1000
2 Dimmer 00,,49,1000
2 Dimmer 00,,50,1000
2 Dimmer 00,,51,1000
2 Dimmer 00,,52,750
2 Dimmer 00,,53,750
2 Dimmer 00,,54,750
2 Dimmer 00,,55,1000
2 Dimmer 00,,56,1000
2 Dimmer 00,,57,1000
2 Dimmer 00,,58,1000
2 Dimmer 00,,59,750
2 Dimmer 00,,60,750
2 Dimmer 00,,61,750
2 Dimmer 00,,62,1000
2 Dimmer 00,,63,1000
2 Dimmer 00,,64,1000
2 Dimmer 00,,73,750
2 Dimmer 00,,65,1000
2 Dimmer 00,,66,1000
2 Dimmer 00,,67,750
2 Dimmer 00,,68,1000
2 Dimmer 00,,69,1000
2 Dimmer 00,,70,750
2 Dimmer 00,,71,750
2 Dimmer 00,,72,3000
2 Dimmer 00,,236,3000
2 Dimmer 00,,237,100
2 Dimmer 00,,238,3000
2 Dimmer 00,,239,100
2 Dimmer 00,,240,3000
2 Dimmer 00,,231,3000
2 Dimmer 00,,241,3000
2 Dimmer 00,,232,1000
2 Dimmer 00,,233,1000
2 Dimmer 00,,234,1000
2 Dimmer 00,,235,1000
