CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime
0;;103;DIM;0;342.0
1;1;;DIM;30;38.0
1;2;;DIM;30;38.0
1;3;;DIM;30;38.0
1;4;;DIM;30;38.0
1;5;;DIM;30;38.0
1;6;;DIM;30;38.0
1;7;;DIM;30;38.0
1;8;;DIM;30;38.0
1;9;;DIM;30;38.0
1;10;;DIM;30;38.0
1;11;;DIM;30;38.0
1;12;;DIM;30;38.0
1;13;;DIM;30;38.0
1;14;;DIM;30;38.0
1;15;;DIM;30;38.0
1;16;;DIM;30;38.0
1;17;;DIM;30;38.0
1;18;;DIM;30;38.0
1;19;;DIM;30;38.0
1;20;;DIM;30;38.0
1;21;;DIM;30;38.0
1;22;;DIM;30;38.0
1;23;;DIM;30;38.0
1;24;;DIM;30;38.0
1;25;;DIM;30;38.0
1;26;;DIM;30;38.0
1;27;;DIM;30;38.0
1;28;;DIM;30;38.0
1;29;;DIM;30;38.0
1;30;;DIM;30;38.0
1;31;;DIM;30;38.0
1;32;;DIM;30;38.0
1;33;;DIM;30;38.0
1;34;;DIM;30;38.0
1;35;;DIM;30;38.0
1;36;;DIM;30;38.0
1;37;;DIM;30;38.0
1;38;;DIM;30;38.0
1;39;;DIM;30;38.0
1;40;;DIM;30;38.0
1;41;;DIM;30;38.0
1;42;;DIM;30;38.0
1;43;;DIM;30;38.0
1;44;;DIM;30;38.0
1;45;;DIM;30;38.0
1;46;;DIM;30;38.0
1;47;;DIM;30;38.0
1;48;;DIM;30;38.0
1;49;;DIM;30;38.0
1;50;;DIM;30;38.0
1;51;;DIM;30;38.0
1;52;;DIM;30;38.0
1;53;;DIM;30;38.0
1;54;;DIM;30;38.0
1;55;;DIM;30;38.0
1;56;;DIM;30;38.0
1;57;;DIM;30;38.0
1;58;;DIM;30;38.0
1;59;;DIM;30;38.0
1;60;;DIM;30;38.0
1;61;;DIM;30;38.0
1;62;;DIM;30;38.0
1;63;;DIM;30;38.0
1;64;;DIM;30;38.0
1;73;;DIM;30;38.0
1;65;;DIM;30;38.0
1;66;;DIM;30;38.0
1;67;;DIM;30;38.0
1;;100;DIM;30;38.0
1;;101;DIM;30;38.0
1;;102;DIM;30;38.0
1;;103;DIM;30;38.0
1;;104;DIM;30;38.0
1;;105;DIM;30;38.0
1;;110;DIM;30;38.0
1;;111;DIM;30;38.0
1;;112;DIM;30;38.0
1;;113;DIM;30;38.0
1;;114;DIM;30;38.0
1;;115;DIM;30;38.0
1;68;;DIM;30;38.0
1;69;;DIM;30;38.0
1;70;;DIM;30;38.0
1;71;;DIM;30;38.0
1;72;;DIM;0;38.0
1;231;;DIM;30;38.0
1;232;;DIM;30;38.0
1;233;;DIM;30;38.0
1;234;;DIM;30;38.0
1;235;;DIM;30;38.0
2;1;;DIM;0;135.0
2;2;;DIM;0;135.0
2;3;;DIM;0;135.0
2;4;;DIM;0;135.0
2;5;;DIM;0;135.0
2;6;;DIM;0;135.0
2;7;;DIM;0;135.0
2;8;;DIM;0;135.0
2;9;;DIM;0;135.0
2;10;;DIM;0;135.0
2;11;;DIM;0;135.0
2;12;;DIM;0;135.0
2;13;;DIM;0;135.0
2;14;;DIM;0;135.0
2;15;;DIM;0;135.0
2;16;;DIM;0;135.0
2;17;;DIM;0;135.0
2;18;;DIM;0;135.0
2;19;;DIM;0;135.0
2;20;;DIM;0;135.0
2;21;;DIM;0;135.0
2;22;;DIM;0;135.0
2;23;;DIM;0;135.0
2;24;;DIM;0;135.0
2;25;;DIM;0;135.0
2;26;;DIM;0;135.0
2;27;;DIM;0;135.0
2;28;;DIM;0;135.0
2;29;;DIM;0;135.0
2;30;;DIM;0;135.0
2;31;;DIM;0;135.0
2;32;;DIM;0;135.0
2;33;;DIM;0;135.0
2;34;;DIM;0;135.0
2;35;;DIM;0;135.0
2;36;;DIM;0;135.0
2;37;;DIM;0;135.0
2;38;;DIM;0;135.0
2;39;;DIM;0;135.0
2;40;;DIM;0;135.0
2;41;;DIM;0;135.0
2;42;;DIM;0;135.0
2;43;;DIM;0;135.0
2;44;;DIM;0;135.0
2;45;;DIM;0;135.0
2;46;;DIM;0;135.0
2;47;;DIM;0;135.0
2;48;;DIM;0;135.0
2;49;;DIM;0;135.0
2;50;;DIM;0;135.0
2;51;;DIM;0;135.0
2;52;;DIM;0;135.0
2;53;;DIM;0;135.0
2;54;;DIM;0;135.0
2;55;;DIM;0;135.0
2;56;;DIM;0;135.0
2;57;;DIM;0;135.0
2;58;;DIM;0;135.0
2;59;;DIM;0;135.0
2;60;;DIM;0;135.0
2;61;;DIM;0;135.0
2;62;;DIM;0;135.0
2;63;;DIM;0;135.0
2;64;;DIM;0;135.0
2;73;;DIM;0;135.0
2;65;;DIM;0;135.0
2;66;;DIM;0;135.0
2;67;;DIM;0;135.0
2;;100;DIM;0;135.0
2;;101;DIM;0;135.0
2;;102;DIM;0;135.0
2;;103;DIM;0;135.0
2;;104;DIM;0;135.0
2;;105;DIM;0;135.0
2;;110;DIM;0;135.0
2;;111;DIM;0;135.0
2;;112;DIM;0;135.0
2;;113;DIM;0;135.0
2;;114;DIM;0;135.0
2;;115;DIM;0;135.0
2;68;;DIM;0;135.0
2;69;;DIM;0;135.0
2;70;;DIM;0;135.0
2;71;;DIM;0;135.0
2;72;;DIM;0;135.0
2;231;;DIM;0;135.0
2;232;;DIM;0;135.0
2;233;;DIM;0;135.0
2;234;;DIM;0;135.0
2;235;;DIM;0;135.0
2;1;;DIM;0;135.0
2;2;;DIM;0;135.0
2;3;;DIM;0;135.0
2;4;;DIM;0;135.0
2;5;;DIM;0;135.0
2;6;;DIM;0;135.0
2;7;;DIM;0;135.0
2;8;;DIM;0;135.0
2;9;;DIM;0;135.0
2;10;;DIM;0;135.0
2;11;;DIM;0;135.0
2;12;;DIM;0;135.0
2;13;;DIM;0;135.0
2;14;;DIM;0;135.0
2;15;;DIM;0;135.0
2;16;;DIM;0;135.0
2;17;;DIM;0;135.0
2;18;;DIM;0;135.0
2;19;;DIM;16;135.0
2;20;;DIM;16;135.0
2;21;;DIM;16;135.0
