CueNumber;betweenCuesTime
0;53.0
1;13.0
2;114.0
3;125.0
4;398.0
5;402.0
6;39.0
7;58.0
8;416.0
9;134.0
10;58.0
11;302.0
12;307.0
13;158.0
14;322.0
15;367.0
16;236.0
17;335.0
18;379.0
19;407.0
20;206.0
21;363.0
22;400.0
23;411.0
24;208.0
25;326.0
26;150.0
27;63.0
28;38.0
29;113.0
30;417.0
31;68.0
32;12.0
33;363.0
34;397.0
35;416.0
36;174.0
37;319.0
38;113.0
39;412.0
40;110.0
41;401.0
44;197.0
45;15.0
46;130.0
47;243.0
48;226.0
49;307.0
50;298.0
51;309.0
52;380.0
53;181.0
54;60.0
55;203.0
56;171.0
57;239.0
58;64.0
