Layer;Fix_ID;Ch_ID;Name;FixtureType;MaxPower
FRENTES;;1;FT 1.1;2 Dimmer 00 (2)                     ;2000
FRENTES;;2;FT 1.2;2 Dimmer 00 (2)                     ;2000
FRENTES;;3;FT 1.3;2 Dimmer 00 (2)                     ;2000
FRENTES;;4;FT 1.4;2 Dimmer 00 (2)                     ;2000
FRENTES;;5;FT 1.5;2 Dimmer 00 (2)                     ;2000
FRENTES;;6;FT 2.1;2 Dimmer 00 (2)                     ;2000
FRENTES;;7;FT 2.2;2 Dimmer 00 (2)                     ;2000
FRENTES;;8;FT 2.3;2 Dimmer 00 (2)                     ;2000
FRENTES;;9;FT 2.4;2 Dimmer 00 (2)                     ;2000
FRENTES;;10;FT 2.5;2 Dimmer 00 (2)                     ;2000
FRENTES;;11;FT 201_3.1;2 Dimmer 00 (2)                     ;1000
FRENTES;;12;FT 201_3.2;2 Dimmer 00 (2)                     ;1000
FRENTES;;13;FT 201_3.3;2 Dimmer 00 (2)                     ;1000
FRENTES;;14;FT 201_3.4;2 Dimmer 00 (2)                     ;1000
FRENTES;;15;FT 201_3.5;2 Dimmer 00 (2)                     ;1000
FRENTES;;16;FT 201_4.1;2 Dimmer 00 (2)                     ;1000
FRENTES;;17;FT 201_4.2;2 Dimmer 00 (2)                     ;1000
FRENTES;;18;FT 201_4.3;2 Dimmer 00 (2)                     ;1000
FRENTES;;19;FT 115_3.1;2 Dimmer 00 (2)                     ;1000
FRENTES;;20;FT 115_3.2;2 Dimmer 00 (2)                     ;1000
FRENTES;;21;FT 115_3.3;2 Dimmer 00 (2)                     ;1000
FRENTES;;22;FT 115_3.4;2 Dimmer 00 (2)                     ;1000
FRENTES;;23;FT 115_3.5;2 Dimmer 00 (2)                     ;1000
FRENTES;;24;FT 115_4.1;2 Dimmer 00 (2)                     ;1000
FRENTES;;25;FT 115_4.2;2 Dimmer 00 (2)                     ;1000
FRENTES;;26;FT 115_4.3;2 Dimmer 00 (2)                     ;1000
CONTRAS;;27;CRT 201_1.1;2 Dimmer 00 (2)                     ;1000
CONTRAS;;28;CRT 201_1.2;2 Dimmer 00 (2)                     ;1000
CONTRAS;;29;CRT 201_1.3;2 Dimmer 00 (2)                     ;1000
CONTRAS;;30;CRT 201_1.4;2 Dimmer 00 (2)                     ;1000
CONTRAS;;31;CRT 201_2.1;2 Dimmer 00 (2)                     ;1000
CONTRAS;;32;CRT 201_2.2;2 Dimmer 00 (2)                     ;1000
CONTRAS;;33;CRT 201_2.3;2 Dimmer 00 (2)                     ;1000
CONTRAS;;34;CRT 115_1.1;2 Dimmer 00 (2)                     ;1000
CONTRAS;;35;CRT 115_1.2;2 Dimmer 00 (2)                     ;1000
CONTRAS;;36;CRT 115_1.3;2 Dimmer 00 (2)                     ;1000
