CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime;FixtureType;MaxPower;Layer;Name;PowerUsed;Energy_J;Energy_Wh
1;1;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 1.1;235.2941176471;85411.7647058823;23.7254901961
1;2;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 1.2;235.2941176471;85411.7647058823;23.7254901961
1;3;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 1.3;235.2941176471;85411.7647058823;23.7254901961
1;4;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 1.4;235.2941176471;85411.7647058823;23.7254901961
1;5;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 1.5;235.2941176471;85411.7647058823;23.7254901961
1;6;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 2.1;235.2941176471;85411.7647058823;23.7254901961
1;7;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 2.2;235.2941176471;85411.7647058823;23.7254901961
1;8;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 2.3;235.2941176471;85411.7647058823;23.7254901961
1;9;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 2.4;235.2941176471;85411.7647058823;23.7254901961
1;10;;DIM;30;363;2 Dimmer 00 (2)                     ;2000.0;FRENTE;FT 2.5;235.2941176471;85411.7647058823;23.7254901961
1;11;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 201_3.1;117.6470588235;42705.8823529412;11.862745098
1;12;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 201_3.2;117.6470588235;42705.8823529412;11.862745098
1;13;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 201_3.3;117.6470588235;42705.8823529412;11.862745098
1;14;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 201_3.4;117.6470588235;42705.8823529412;11.862745098
1;15;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 201_3.5;117.6470588235;42705.8823529412;11.862745098
1;16;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 201_4.1;117.6470588235;42705.8823529412;11.862745098
1;17;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 201_4.2;117.6470588235;42705.8823529412;11.862745098
1;18;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 201_4.3;117.6470588235;42705.8823529412;11.862745098
1;19;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 115_3.1;117.6470588235;42705.8823529412;11.862745098
1;20;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 115_3.2;117.6470588235;42705.8823529412;11.862745098
1;21;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 115_3.3;117.6470588235;42705.8823529412;11.862745098
1;22;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 115_3.4;117.6470588235;42705.8823529412;11.862745098
1;23;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 115_3.5;117.6470588235;42705.8823529412;11.862745098
1;24;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 115_4.1;117.6470588235;42705.8823529412;11.862745098
1;25;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 115_4.2;117.6470588235;42705.8823529412;11.862745098
1;26;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;FRENTE;FT 115_4.3;117.6470588235;42705.8823529412;11.862745098
1;27;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 201_1.1;117.6470588235;42705.8823529412;11.862745098
1;28;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 201_1.2;117.6470588235;42705.8823529412;11.862745098
1;29;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 201_1.3;117.6470588235;42705.8823529412;11.862745098
1;30;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 201_1.4;117.6470588235;42705.8823529412;11.862745098
1;31;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 201_2.1;117.6470588235;42705.8823529412;11.862745098
1;32;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 201_2.2;117.6470588235;42705.8823529412;11.862745098
1;33;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 201_2.3;117.6470588235;42705.8823529412;11.862745098
1;34;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 115_1.1;117.6470588235;42705.8823529412;11.862745098
1;35;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 115_1.2;117.6470588235;42705.8823529412;11.862745098
1;36;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 115_1.3;117.6470588235;42705.8823529412;11.862745098
1;37;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 115_1.4;117.6470588235;42705.8823529412;11.862745098
1;38;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 115_2.1;117.6470588235;42705.8823529412;11.862745098
1;39;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 115_2.2;117.6470588235;42705.8823529412;11.862745098
1;40;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CONTRA;CRT 115_2.3;117.6470588235;42705.8823529412;11.862745098
1;41;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;LEQUE ;PAREDE 1;88.2352941176;32029.4117647059;8.8970588235
1;42;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;LEQUE ;PAREDE 2;88.2352941176;32029.4117647059;8.8970588235
1;43;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;LEQUE ;PAREDE 3;88.2352941176;32029.4117647059;8.8970588235
1;44;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;LEQUE ;PAREDE 4;88.2352941176;32029.4117647059;8.8970588235
1;45;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;LEQUE ;PAREDE 5;88.2352941176;32029.4117647059;8.8970588235
1;46;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;LEQUE ;PAREDE 6;88.2352941176;32029.4117647059;8.8970588235
1;47;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;LEQUE ;PAREDE 7;88.2352941176;32029.4117647059;8.8970588235
1;48;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;LATERA;RED 1;117.6470588235;42705.8823529412;11.862745098
1;49;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;LATERA;RED 2;117.6470588235;42705.8823529412;11.862745098
1;50;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;LATERA;RED 3;117.6470588235;42705.8823529412;11.862745098
1;51;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;LATERA;RED 4;117.6470588235;42705.8823529412;11.862745098
1;52;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;BANHEI;BANHEIRA FRT;88.2352941176;32029.4117647059;8.8970588235
1;53;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;BANHEI;BANHEIRA PIC.;88.2352941176;32029.4117647059;8.8970588235
1;54;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;BANHEI;BANHEIRA CRT;88.2352941176;32029.4117647059;8.8970588235
1;55;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;BANCOS;BANCO FR L;117.6470588235;42705.8823529412;11.862745098
1;56;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;BANCOS;BANCO CRT L;117.6470588235;42705.8823529412;11.862745098
1;57;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;BANCOS;BANCO FR R;117.6470588235;42705.8823529412;11.862745098
1;58;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;BANCOS;BANCO CRT R;117.6470588235;42705.8823529412;11.862745098
1;59;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;CADEIR;COUMIER;88.2352941176;32029.4117647059;8.8970588235
1;60;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;GUILHO;GUILHO PIC.;88.2352941176;32029.4117647059;8.8970588235
1;61;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;GUILHO;GUILHO CRT;88.2352941176;32029.4117647059;8.8970588235
1;62;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;CANTOR;CANTORES CRT;117.6470588235;42705.8823529412;11.862745098
1;63;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;PORTA ;PORTA FR PICADO;117.6470588235;42705.8823529412;11.862745098
1;64;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;PORTA ;PORTA CRT;117.6470588235;42705.8823529412;11.862745098
1;73;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;PORTA ;PORTA RÉGIE;88.2352941176;32029.4117647059;8.8970588235
1;65;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;MUSICO;MUSICO FR;117.6470588235;42705.8823529412;11.862745098
1;66;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;MUSICO;PAUTAS CRT;117.6470588235;42705.8823529412;11.862745098
1;67;;DIM;30;363;2 Dimmer 00 (2)                     ;750.0;MUSICO;KEYS;88.2352941176;32029.4117647059;8.8970588235
1;68;;DIM;30;363;2 Dimmer 00 (2)                     ;1000.0;ALCOVA;DIR ALCOVA;117.6470588235;42705.8823529412;11.862745098
