CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime;FixtureType;MaxPower;Layer;Name;PowerUsed;Energy_J;Energy_Wh
0;;103;DIM;0;166;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
1;;100;DIM;30;348;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;111.76;38894.12;10.8
1;;101;DIM;30;348;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;111.76;38894.12;10.8
1;;102;DIM;30;348;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;111.76;38894.12;10.8
1;;103;DIM;30;348;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;111.76;38894.12;10.8
1;;104;DIM;30;348;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;111.76;38894.12;10.8
1;;105;DIM;30;348;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;111.76;38894.12;10.8
1;;110;DIM;30;348;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 1;76.47;26611.76;7.39
1;;111;DIM;30;348;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 2;76.47;26611.76;7.39
1;;112;DIM;30;348;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 3;76.47;26611.76;7.39
1;;113;DIM;30;348;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 4;76.47;26611.76;7.39
1;;114;DIM;30;348;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 5;76.47;26611.76;7.39
1;;115;DIM;30;348;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 6;76.47;26611.76;7.39
2;;100;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;0;0;0
2;;101;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
2;;102;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;0;0;0
2;;103;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
2;;104;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
2;;105;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;0;0;0
2;;110;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 1;0;0;0
2;;111;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 2;0;0;0
2;;112;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 3;0;0;0
2;;113;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 4;0;0;0
2;;114;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 5;0;0;0
2;;115;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 6;0;0;0
2;;100;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;0;0;0
2;;101;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
2;;102;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;0;0;0
2;;103;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
2;;104;DIM;0;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
2;;105;DIM;20;59;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;74.51;4396.08;1.22
2;;110;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 1;0;0;0
2;;111;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 2;0;0;0
2;;112;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 3;0;0;0
2;;113;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 4;0;0;0
2;;114;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 5;0;0;0
2;;115;DIM;0;59;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 6;0;0;0
3;;100;DIM;0;317;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;0;0;0
3;;101;DIM;0;317;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
3;;102;DIM;0;317;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;0;0;0
3;;103;DIM;0;317;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
3;;104;DIM;0;317;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
3;;105;DIM;20;317;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;74.51;23619.61;6.56
