CueNumber;betweenCuesTime
0;228.0
1;306.0
2;10.0
3;80.0
4;271.0
5;242.0
6;50.0
7;412.0
8;238.0
9;248.0
10;229.0
11;373.0
12;357.0
13;137.0
14;157.0
15;243.0
16;279.0
17;274.0
18;238.0
19;232.0
20;21.0
21;53.0
22;361.0
23;368.0
24;157.0
25;387.0
26;134.0
27;87.0
28;265.0
29;274.0
30;307.0
31;260.0
32;210.0
33;326.0
34;373.0
35;215.0
36;323.0
37;350.0
38;166.0
39;324.0
40;308.0
41;113.0
44;219.0
45;319.0
46;308.0
47;219.0
48;54.0
49;277.0
50;70.0
51;295.0
52;110.0
53;311.0
54;106.0
55;82.0
56;346.0
57;285.0
58;225.0
