CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime;FixtureType;MaxPower;Layer;Name;PowerUsed;Energy_J;Energy_Wh
0;;103;DIM;0;227;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
1;;100;DIM;30;363;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;111.7647058824;40570.5882352941;11.2696078431
1;;101;DIM;30;363;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;111.7647058824;40570.5882352941;11.2696078431
1;;102;DIM;30;363;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;111.7647058824;40570.5882352941;11.2696078431
1;;103;DIM;30;363;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;111.7647058824;40570.5882352941;11.2696078431
1;;104;DIM;30;363;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;111.7647058824;40570.5882352941;11.2696078431
1;;105;DIM;30;363;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;111.7647058824;40570.5882352941;11.2696078431
1;;110;DIM;30;363;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;76.4705882353;27758.8235294118;7.7107843137
1;;111;DIM;30;363;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;76.4705882353;27758.8235294118;7.7107843137
1;;112;DIM;30;363;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;76.4705882353;27758.8235294118;7.7107843137
1;;113;DIM;30;363;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;76.4705882353;27758.8235294118;7.7107843137
1;;114;DIM;30;363;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;76.4705882353;27758.8235294118;7.7107843137
1;;115;DIM;30;363;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;76.4705882353;27758.8235294118;7.7107843137
2;;100;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;101;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;102;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;103;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;104;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;105;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;110;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;111;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;112;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;113;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;114;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;115;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;100;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;101;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;102;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;103;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;104;DIM;0;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
2;;105;DIM;20;234;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;74.5098039216;17435.2941176471;4.8431372549
2;;110;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;111;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;112;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;113;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;114;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
2;;115;DIM;0;234;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
3;;100;DIM;0;101;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
3;;101;DIM;0;101;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
3;;102;DIM;0;101;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
3;;103;DIM;0;101;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
3;;104;DIM;0;101;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
3;;105;DIM;20;101;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;74.5098039216;7525.4901960784;2.0904139434
3;;110;DIM;0;101;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
3;;111;DIM;0;101;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
3;;112;DIM;0;101;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
3;;113;DIM;0;101;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
3;;114;DIM;0;101;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
3;;115;DIM;0;101;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;100;DIM;11;56;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;2294.9019607843;0.6374727669
4;;101;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
4;;102;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
4;;103;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
4;;104;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
4;;105;DIM;20;56;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;74.5098039216;4172.5490196078;1.1590413943
4;;110;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;111;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;112;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;113;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;114;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;115;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;100;DIM;11;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;4753.7254901961;1.3204793028
5;;101;DIM;0;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
5;;102;DIM;0;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
5;;103;DIM;0;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
5;;104;DIM;0;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
5;;105;DIM;11;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;4753.7254901961;1.3204793028
5;;110;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;111;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;112;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;113;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;114;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;115;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
7;;104;DIM;16;289;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;59.6078431373;17226.6666666667;4.7851851852
8;;100;DIM;17;390;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;63.3333333333;24700.0;6.8611111111
9;;101;DIM;14;88;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;52.1568627451;4589.8039215686;1.2749455338
10;;100;DIM;11;238;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;9753.3333333333;2.7092592593
