Layer;Fix_ID;Ch_ID;Name;FixtureType;MaxPower
REV4;100;;Revolution 1;6 Revolution BM/SM Original Scroller;950
REV4;101;;Revolution 2;6 Revolution BM/SM Original Scroller;950
REV4;102;;Revolution 3;6 Revolution BM/SM Original Scroller;950
REV4;103;;Revolution 4;6 Revolution BM/SM Original Scroller;950
REV4;104;;Revolution 5;6 Revolution BM/SM Original Scroller;950
REV4;105;;Revolution 6;6 Revolution BM/SM Original Scroller;950
AUTOYOKE;110;;autoyoke 1;8 autoyoke_jj (8)                   ;650
AUTOYOKE;111;;autoyoke 2;8 autoyoke_jj (8)                   ;650
AUTOYOKE;112;;autoyoke 3;8 autoyoke_jj (8)                   ;650
AUTOYOKE;113;;autoyoke 4;8 autoyoke_jj (8)                   ;650
AUTOYOKE;114;;autoyoke 5;8 autoyoke_jj (8)                   ;650
AUTOYOKE;115;;autoyoke 6;8 autoyoke_jj (8)                   ;650
