CueNumber;SubNumber;ChannelID;FixtureID;AttributeName;Value;CuePartIndex;CuePartName
1;0;1;;DIM;0;;
1;0;2;;DIM;0;;
1;0;3;;DIM;0;;
1;0;4;;DIM;0;;
1;0;5;;DIM;0;;
1;0;6;;DIM;0;;
1;0;11;;DIM;0;;
1;0;12;;DIM;0;;
1;0;;161;DIM;0;;
1;0;;1;DIM;0;;
1;0;;2;DIM;0;;
1;0;;3;DIM;0;;
1;0;;4;DIM;0;;
1;0;;5;DIM;0;;
1;0;;6;DIM;0;;
1;0;;11;DIM;0;;
1;0;;12;DIM;0;;
1;0;;13;DIM;0;;
1;0;21;;DIM;0;;
1;0;22;;DIM;0;;
1;0;101;;DIM;0;;
1;0;102;;DIM;0;;
1;0;103;;DIM;0;;
1;0;104;;DIM;0;;
1;0;105;;DIM;0;;
1;0;106;;DIM;0;;
1;0;107;;DIM;0;;
1;0;108;;DIM;0;;
1;0;109;;DIM;0;;
1;0;110;;DIM;0;;
1;0;;201;DIM;0;;
2;0;;5;DIM;20;;
3;0;;5;DIM;36;;
3;0;21;;DIM;15;;
3;0;22;;DIM;15;;
4;0;;13;DIM;30;;
5;0;;12;DIM;30;;
7;0;1;;DIM;30.25;;
7;0;2;;DIM;30.25;;
7;0;3;;DIM;30.25;;
7;0;4;;DIM;15.25;;
7;0;5;;DIM;15.25;;
7;0;6;;DIM;15.25;;
7;0;;1;DIM;38;;
7;0;;2;DIM;38;;
7;0;;3;DIM;38;;
7;0;;4;DIM;38;;
7;0;;6;DIM;38;;
7;0;;12;DIM;60;;
8;0;4;;DIM;0;;
8;0;5;;DIM;0;;
8;0;6;;DIM;0;;
8;0;;161;DIM;99;;
8;0;;2;DIM;0;;
8;0;;4;DIM;0;;
8;0;;6;DIM;0;;
9;0;;161;DIM;0;;
10;0;1;;DIM;0;;
10;0;2;;DIM;0;;
10;0;3;;DIM;0;;
10;0;4;;DIM;0;;
10;0;5;;DIM;0;;
10;0;6;;DIM;0;;
10;0;;1;DIM;0;;
10;0;;2;DIM;0;;
10;0;;3;DIM;0;;
10;0;;12;DIM;6;;
10;0;;13;DIM;17.5;;
10;0;21;;DIM;6;;
10;0;22;;DIM;6;;
12;0;1;;DIM;30;;
12;0;2;;DIM;30;;
12;0;3;;DIM;30;;
12;0;4;;DIM;30;;
12;0;5;;DIM;30;;
12;0;6;;DIM;30;;
12;0;;1;DIM;29;;
12;0;;2;DIM;29;;
12;0;;3;DIM;29;;
12;0;;4;DIM;40.5;;
12;0;;6;DIM;11.5;;
14;0;1;;DIM;0;;
14;0;2;;DIM;0;;
14;0;3;;DIM;0;;
14;0;4;;DIM;0;;
14;0;5;;DIM;0;;
14;0;6;;DIM;0;;
14;0;;1;DIM;0;;
14;0;;2;DIM;0;;
14;0;;3;DIM;0;;
14;0;;4;DIM;0;;
14;0;;6;DIM;0;;
15;0;4;;DIM;0;;
15;0;5;;DIM;30;;
15;0;6;;DIM;0;;
15;0;;5;DIM;22;;
16;0;1;;DIM;30;;
16;0;2;;DIM;30;;
16;0;3;;DIM;30;;
16;0;4;;DIM;30;;
16;0;5;;DIM;30;;
16;0;6;;DIM;30;;
16;0;;1;DIM;30;;
16;0;;2;DIM;30;;
16;0;;3;DIM;30;;
17;0;1;;DIM;0;;
17;0;2;;DIM;0;;
17;0;3;;DIM;0;;
17;0;4;;DIM;0;;
17;0;5;;DIM;0;;
17;0;6;;DIM;0;;
17;0;;1;DIM;0;;
17;0;;2;DIM;0;;
17;0;;3;DIM;0;;
18;0;1;;DIM;3;;
18;0;4;;DIM;0;;
18;0;12;;DIM;0;;
