CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime
1;1;;DIM;0;200.0
1;2;;DIM;0;200.0
1;3;;DIM;0;200.0
1;4;;DIM;0;200.0
1;5;;DIM;0;200.0
1;6;;DIM;0;200.0
1;11;;DIM;0;200.0
1;12;;DIM;0;200.0
1;;161;DIM;0;200.0
1;;1;DIM;0;200.0
1;;2;DIM;0;200.0
1;;3;DIM;0;200.0
1;;4;DIM;0;200.0
1;;5;DIM;0;200.0
1;;6;DIM;0;200.0
1;;11;DIM;0;200.0
1;;12;DIM;0;200.0
1;;13;DIM;0;200.0
1;21;;DIM;0;200.0
1;22;;DIM;0;200.0
1;101;;DIM;0;200.0
1;102;;DIM;0;200.0
1;103;;DIM;0;200.0
1;104;;DIM;0;200.0
1;105;;DIM;0;200.0
1;106;;DIM;0;200.0
1;107;;DIM;0;200.0
1;108;;DIM;0;200.0
1;109;;DIM;0;200.0
1;110;;DIM;0;200.0
1;;201;DIM;0;200.0
2;;5;DIM;20;105.0
3;;5;DIM;36;118.0
3;21;;DIM;15;118.0
3;22;;DIM;15;118.0
4;;13;DIM;30;115.0
5;;12;DIM;30;147.0
7;1;;DIM;30.25;360.0
7;2;;DIM;30.25;360.0
7;3;;DIM;30.25;360.0
7;4;;DIM;15.25;360.0
7;5;;DIM;15.25;360.0
7;6;;DIM;15.25;360.0
7;;1;DIM;38;360.0
7;;2;DIM;38;360.0
7;;3;DIM;38;360.0
7;;4;DIM;38;360.0
7;;6;DIM;38;360.0
7;;12;DIM;60;360.0
8;4;;DIM;0;130.0
8;5;;DIM;0;130.0
8;6;;DIM;0;130.0
8;;161;DIM;99;130.0
8;;2;DIM;0;130.0
8;;4;DIM;0;130.0
8;;6;DIM;0;130.0
9;;161;DIM;0;28.0
10;1;;DIM;0;79.0
10;2;;DIM;0;79.0
10;3;;DIM;0;79.0
10;4;;DIM;0;79.0
10;5;;DIM;0;79.0
10;6;;DIM;0;79.0
10;;1;DIM;0;79.0
10;;2;DIM;0;79.0
10;;3;DIM;0;79.0
10;;12;DIM;6;79.0
10;;13;DIM;17.5;79.0
10;21;;DIM;6;79.0
10;22;;DIM;6;79.0
12;1;;DIM;30;282.0
12;2;;DIM;30;282.0
12;3;;DIM;30;282.0
12;4;;DIM;30;282.0
12;5;;DIM;30;282.0
12;6;;DIM;30;282.0
12;;1;DIM;29;282.0
12;;2;DIM;29;282.0
12;;3;DIM;29;282.0
12;;4;DIM;40.5;282.0
12;;6;DIM;11.5;282.0
14;1;;DIM;0;243.0
14;2;;DIM;0;243.0
14;3;;DIM;0;243.0
14;4;;DIM;0;243.0
14;5;;DIM;0;243.0
14;6;;DIM;0;243.0
14;;1;DIM;0;243.0
14;;2;DIM;0;243.0
14;;3;DIM;0;243.0
14;;4;DIM;0;243.0
14;;6;DIM;0;243.0
15;4;;DIM;0;419.0
15;5;;DIM;30;419.0
15;6;;DIM;0;419.0
15;;5;DIM;22;419.0
16;1;;DIM;30;89.0
16;2;;DIM;30;89.0
16;3;;DIM;30;89.0
16;4;;DIM;30;89.0
16;5;;DIM;30;89.0
16;6;;DIM;30;89.0
16;;1;DIM;30;89.0
16;;2;DIM;30;89.0
16;;3;DIM;30;89.0
17;1;;DIM;0;394.0
17;2;;DIM;0;394.0
17;3;;DIM;0;394.0
17;4;;DIM;0;394.0
17;5;;DIM;0;394.0
17;6;;DIM;0;394.0
17;;1;DIM;0;394.0
17;;2;DIM;0;394.0
17;;3;DIM;0;394.0
18;1;;DIM;3;32.0
18;4;;DIM;0;32.0
18;12;;DIM;0;32.0
18;;5;DIM;0;32.0
18;;12;DIM;2;32.0
18;;13;DIM;2;32.0
18;21;;DIM;0;32.0
18;22;;DIM;0;32.0
19;1;;DIM;30;392.0
19;2;;DIM;30;392.0
19;3;;DIM;30;392.0
19;4;;DIM;30;392.0
19;5;;DIM;30;392.0
19;6;;DIM;30;392.0
19;;1;DIM;30;392.0
19;;2;DIM;30;392.0
19;;3;DIM;30;392.0
19;;4;DIM;30;392.0
19;;5;DIM;30;392.0
19;;6;DIM;30;392.0
19;21;;DIM;20;392.0
19;22;;DIM;20;392.0
20;1;;DIM;0;128.0
20;2;;DIM;0;128.0
20;3;;DIM;0;128.0
20;4;;DIM;0;128.0
20;5;;DIM;0;128.0
20;6;;DIM;0;128.0
20;;1;DIM;0;128.0
20;;2;DIM;0;128.0
20;;3;DIM;0;128.0
20;;4;DIM;0;128.0
20;;6;DIM;0;128.0
20;21;;DIM;13;128.0
20;22;;DIM;13;128.0
22;1;;DIM;30;153.0
22;2;;DIM;30;153.0
22;3;;DIM;30;153.0
22;4;;DIM;30;153.0
22;5;;DIM;30;153.0
22;6;;DIM;30;153.0
22;;1;DIM;30;153.0
22;;2;DIM;30;153.0
22;;3;DIM;30;153.0
22;;4;DIM;30;153.0
22;;6;DIM;30;153.0
23;1;;DIM;0;233.0
23;2;;DIM;0;233.0
23;3;;DIM;0;233.0
23;4;;DIM;0;233.0
23;5;;DIM;3;233.0
23;6;;DIM;0;233.0
23;12;;DIM;50;233.0
23;;1;DIM;0;233.0
23;;2;DIM;0;233.0
23;;3;DIM;0;233.0
23;;4;DIM;0;233.0
23;;5;DIM;0;233.0
23;;6;DIM;0;233.0
23;;12;DIM;5;233.0
23;;13;DIM;5;233.0
23;21;;DIM;0;233.0
23;22;;DIM;0;233.0
